STEP2(修复版): 二级科目复用/创建 + 费用角色组子角色 + 人员绑定
待执行: 25 行
一级科目: 19 | 二级映射: 135
角色组处理: 复用/返回:角色组或角色名称已存在
费用角色组ID: 22231 | 已有子角色: 0
[1] 运营增长_0316->增长策略费_0316 | 其他付款单 | 人员:_test_1046,Test_1140 ➕ 子角色可用:其他付款单=22232
[1] 运营增长_0316->增长策略费_0316 | 其他付款单 | 人员:_test_1046,Test_1140 ✅ 绑定成功(roleId=22232,feeId=28291,uids=[15086, 11871])
[2] 运营增长_0316->活动策划费_0316 | 员工报销单/批量付款单 | 人员:_test_1113,_test_1194 ➕ 二级已创建:28296
[2] 运营增长_0316->活动策划费_0316 | 员工报销单/批量付款单 | 人员:_test_1113,_test_1194 ➕ 子角色可用:员工报销单/批量付款单=22233
[2] 运营增长_0316->活动策划费_0316 | 员工报销单/批量付款单 | 人员:_test_1113,_test_1194 ✅ 绑定成功(roleId=22233,feeId=28296,uids=[15153, 15223])
[3] 运营增长_0316->用户运营费_0316 | 采购付款单 | 人员:_test_1127,孙强 ➕ 二级已创建:28297
[3] 运营增长_0316->用户运营费_0316 | 采购付款单 | 人员:_test_1127,孙强 ➕ 子角色可用:采购付款单=22234
[3] 运营增长_0316->用户运营费_0316 | 采购付款单 | 人员:_test_1127,孙强 ✅ 绑定成功(roleId=22234,feeId=28297,uids=[15025, 15574])
[4] 运营增长_0316->渠道测试费_0316 | 员工报销单/批量付款单 | 人员:Test_1272,Test_1210 ➕ 二级已创建:28298
[4] 运营增长_0316->渠道测试费_0316 | 员工报销单/批量付款单 | 人员:Test_1272,Test_1210 ✅ 绑定成功(roleId=22233,feeId=28298,uids=[15521, 15459])
[5] 运营增长_0316->复盘分析费_0316 | 其他付款单 | 人员:_test_1077,Test_1144 ➕ 二级已创建:28299
[5] 运营增长_0316->复盘分析费_0316 | 其他付款单 | 人员:_test_1077,Test_1144 ✅ 绑定成功(roleId=22232,feeId=28299,uids=[15117, 15393])
[6] AI工程_0316->模型调用费_0316 | 采购付款单 | 人员:_test_1257,员工D ✅ 绑定成功(roleId=22234,feeId=28292,uids=[15286, 15363])
[7] AI工程_0316->提示词优化费_0316 | 其他付款单 | 人员:郑军芳,_test_1277 ➕ 二级已创建:28300
[7] AI工程_0316->提示词优化费_0316 | 其他付款单 | 人员:郑军芳,_test_1277 ✅ 绑定成功(roleId=22232,feeId=28300,uids=[15630, 15306])
[8] AI工程_0316->Agent维护费_0316 | 其他付款单 | 人员:Test_1265,Test_1237 ➕ 二级已创建:28301
[8] AI工程_0316->Agent维护费_0316 | 其他付款单 | 人员:Test_1265,Test_1237 ✅ 绑定成功(roleId=22232,feeId=28301,uids=[15514, 15486])
[9] AI工程_0316->向量存储费_0316 | 采购付款单 | 人员:_test_1083,Test_1126 ➕ 二级已创建:28302
[9] AI工程_0316->向量存储费_0316 | 采购付款单 | 人员:_test_1083,Test_1126 ✅ 绑定成功(roleId=22234,feeId=28302,uids=[15123, 15376])
[10] AI工程_0316->推理加速费_0316 | 员工报销单/批量付款单 | 人员:_test_1045,沈建凤 ➕ 二级已创建:28303
[10] AI工程_0316->推理加速费_0316 | 员工报销单/批量付款单 | 人员:_test_1045,沈建凤 ✅ 绑定成功(roleId=22233,feeId=28303,uids=[15085, 15648])
[11] 门店协同_0316->收银系统费_0316 | 采购付款单 | 人员:Test_1234,_test_1142 ✅ 绑定成功(roleId=22234,feeId=28293,uids=[15483, 15171])
[12] 门店协同_0316->巡检系统费_0316 | 其他付款单 | 人员:DeptTest_11,_test_1122 ➕ 二级已创建:28304
[12] 门店协同_0316->巡检系统费_0316 | 其他付款单 | 人员:DeptTest_11,_test_1122 ✅ 绑定成功(roleId=22232,feeId=28304,uids=[15039, 15020])
[13] 门店协同_0316->库存同步费_0316 | 员工报销单/批量付款单 | 人员:WindowsTest01,_test_1061 ➕ 二级已创建:28305
[13] 门店协同_0316->库存同步费_0316 | 员工报销单/批量付款单 | 人员:WindowsTest01,_test_1061 ✅ 绑定成功(roleId=22233,feeId=28305,uids=[14999, 15101])
[14] 门店协同_0316->电子价签费_0316 | 员工报销单/批量付款单 | 人员:_test_1029,Test_1142 ➕ 二级已创建:28306
[14] 门店协同_0316->电子价签费_0316 | 员工报销单/批量付款单 | 人员:_test_1029,Test_1142 ✅ 绑定成功(roleId=22233,feeId=28306,uids=[15069, 15391])
[15] 门店协同_0316->排班优化费_0316 | 员工报销单/批量付款单 | 人员:Test_1299,刘明 ➕ 二级已创建:28307
[15] 门店协同_0316->排班优化费_0316 | 员工报销单/批量付款单 | 人员:Test_1299,刘明 ✅ 绑定成功(roleId=22233,feeId=28307,uids=[15548, 15556])
[16] 客户交付_0316->实施服务费_0316 | 采购付款单 | 人员:企业,企业负责人 ✅ 绑定成功(roleId=22234,feeId=28294,uids=[13299, 13594])
[17] 客户交付_0316->上线辅导费_0316 | 员工报销单/批量付款单 | 人员:_test_1118,_test_1085 ➕ 二级已创建:28308
[17] 客户交付_0316->上线辅导费_0316 | 员工报销单/批量付款单 | 人员:_test_1118,_test_1085 ✅ 绑定成功(roleId=22233,feeId=28308,uids=[15158, 15125])
[18] 客户交付_0316->培训服务费_0316 | 采购付款单 | 人员:企业,Test_1247 ➕ 二级已创建:28309
[18] 客户交付_0316->培训服务费_0316 | 采购付款单 | 人员:企业,Test_1247 ✅ 绑定成功(roleId=22234,feeId=28309,uids=[13299, 15496])
[19] 客户交付_0316->交付验收费_0316 | 采购付款单 | 人员:_test_1257,Test_1264 ➕ 二级已创建:28310
[19] 客户交付_0316->交付验收费_0316 | 采购付款单 | 人员:_test_1257,Test_1264 ✅ 绑定成功(roleId=22234,feeId=28310,uids=[15286, 15513])
[20] 客户交付_0316->迁移支持费_0316 | 员工报销单/批量付款单 | 人员:李芳,赵源奕 ➕ 二级已创建:28311
[20] 客户交付_0316->迁移支持费_0316 | 员工报销单/批量付款单 | 人员:李芳,赵源奕 ✅ 绑定成功(roleId=22233,feeId=28311,uids=[15667, 15645])
[21] 财税支持_0316->税务咨询费_0316 | 员工报销单/批量付款单 | 人员:_test_1011,Test_1160 ✅ 绑定成功(roleId=22233,feeId=28295,uids=[15051, 15409])
[22] 财税支持_0316->审计支持费_0316 | 员工报销单/批量付款单 | 人员:员工I,_test_1215 ➕ 二级已创建:28312
[22] 财税支持_0316->审计支持费_0316 | 员工报销单/批量付款单 | 人员:员工I,_test_1215 ✅ 绑定成功(roleId=22233,feeId=28312,uids=[15368, 15244])
[23] 财税支持_0316->合同审阅费_0316 | 员工报销单/批量付款单 | 人员:_test_1155,Test_1137 ➕ 二级已创建:28313
[23] 财税支持_0316->合同审阅费_0316 | 员工报销单/批量付款单 | 人员:_test_1155,Test_1137 ✅ 绑定成功(roleId=22233,feeId=28313,uids=[15184, 15387])
